,date,CPI,IRt,IRt_log,month,IRT_corrected,seasonal_correction,AR1_predictions
6,2009-01-01,96.07569,-0.01034242678672472,-0.01034242678672472,1,-0.007781378491719821,-0.0025610482950048983,-0.0025610482950048983
7,2009-02-01,96.49385,0.004352401736589144,0.004352401736589144,2,0.0012851462951944176,0.003067255441394727,0.002911854470126759
8,2009-03-01,96.97369,0.004972752149489424,0.004972752149489424,3,0.0010167102188946764,0.0039560419305947475,0.005782119843362438
9,2009-04-01,97.20951,0.002431793613298511,0.002431793613298511,4,-0.0022874971473921,0.004719290760690611,0.006486702268258702
10,2009-05-01,97.45218,0.0024963606955739613,0.0024963606955739613,5,-0.0006818748736171346,0.003178235569191096,0.004223516240672801
11,2009-06-01,97.7337,0.002888801461393685,0.002888801461393685,6,0.0002748757344174786,0.0026139257269762062,0.004010113356305123
12,2009-07-01,98.57322,0.008589872275376942,0.008589872275376942,7,0.00687831155586128,0.0017115607195156619,0.003316845127562379
13,2009-08-01,98.41692,-0.0015856233569320516,-0.0015856233569320516,8,-0.0013476927613845016,-0.00023793059554755007,0.0028105273491954527
14,2009-09-01,98.63766,0.002242907012330727,0.002242907012330727,9,0.0009266744713728957,0.0013162325409578311,0.002566906413226444
15,2009-10-01,98.69936,0.000625521732774296,0.000625521732774296,10,-0.0009373449047403729,0.0015628666375146689,0.003310600932841498
16,2009-11-01,98.79442,0.000963126812575114,0.000963126812575114,11,0.001302961511882478,-0.00033983469930736404,0.0010005202395396114
17,2009-12-01,98.86433,0.0007076310585151776,0.0007076310585151776,12,0.0025963288430976726,-0.001888697784582495,-5.87263760695705e-05
18,2010-01-01,98.69022,-0.0017611002876365912,-0.0017611002876365912,1,0.0007999480073683071,-0.0025610482950048983,-0.0004484128982124363
19,2010-02-01,99.02749,0.003417461223614698,0.003417461223614698,2,0.0003502057822199712,0.003067255441394727,0.004787293809298954
20,2010-03-01,99.05217,0.00024922372565439743,0.00024922372565439743,3,-0.00370681820494035,0.0039560419305947475,0.00557778963660426
21,2010-04-01,99.45891,0.004106320941782489,0.004106320941782489,4,-0.0006129698189081224,0.004719290760690611,0.0054543803974267755
22,2010-05-01,99.63166,0.0017368981823749478,0.0017368981823749478,5,-0.0014413373868161481,0.003178235569191096,0.004589482321405364
23,2010-06-01,99.70888,0.0007750548369865257,0.0007750548369865257,6,-0.0018388708899896805,0.0026139257269762062,0.0038441336707598444
24,2010-07-01,99.61153,-0.0009763423277845626,-0.0009763423277845626,7,-0.0026879030473002247,0.0017115607195156619,0.0028548881593853884
25,2010-08-01,99.63257,0.0002112205283866163,0.0002112205283866163,8,0.0004491511239341664,-0.00023793059554755007,0.000719841812916294
26,2010-09-01,99.77013,0.0013806730068289261,0.0013806730068289261,9,6.444046587109498e-05,0.0013162325409578311,0.002959604641086173
27,2010-10-01,99.82817,0.0005817372393922452,0.0005817372393922452,10,-0.0009811293981224238,0.0015628666375146689,0.003122160652231976
28,2010-11-01,99.95248,0.0012452396953684932,0.0012452396953684932,11,0.0015850743946758572,-0.00033983469930736404,0.000990951187325697
29,2010-12-01,99.99452,0.00042059986905777704,0.00042059986905777704,12,0.002309297653640272,-0.001888697784582495,2.9290799411290595e-06
30,2011-01-01,100.1664,0.001718894195401924,0.001718894195401924,1,0.004279942490406822,-0.0025610482950048983,-0.0005111432446612049
31,2011-02-01,100.6435,0.0047630742444572955,0.0047630742444572955,2,0.0016958188030625687,0.003067255441394727,0.005547842723768781
32,2011-03-01,101.1398,0.004931267294956861,0.004931267294956861,3,0.0009752253643621131,0.0039560419305947475,0.005871871862103861
33,2011-04-01,102.126,0.009750859701126668,0.009750859701126668,4,0.0050315689404360564,0.004719290760690611,0.006477635799551507
